,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
5485,2023-563189,2023-06-29,1,Vente,183765.0,21.0,,RUE DEPARCIEUX,2704,75014.0,75114,Paris 14e Arrondissement,75,,,75114000AM0066,,,12,14.77,,,,,,,,,1,2.0,Appartement,15.0,1.0,,,,,,2.326164,48.835572
5486,2023-563193,2023-06-30,1,Vente,535000.0,36.0,,RUE DES PEUPLIERS,7365,75013.0,75113,Paris 13e Arrondissement,75,,,75113000DO0011,,,17,56.62,,,,,,,,,1,2.0,Appartement,45.0,3.0,,,,,,2.352568,48.822407
5487,2023-563203,2023-06-29,1,Vente,162000.0,26.0,,RUE BREZIN,1288,75014.0,75114,Paris 14e Arrondissement,75,,,75114000CK0040,,,4,20.0,,,,,,,,,1,2.0,Appartement,21.0,2.0,,,,,,2.327479,48.831466
5488,2023-563217,2023-06-30,1,Vente,615000.0,8.0,,RUE FURTADO HEINE,3888,75014.0,75114,Paris 14e Arrondissement,75,,,75114000CS0012,,,28,57.15,,,,,,,,,1,2.0,Appartement,57.0,3.0,,,,,,2.318955,48.830016
5489,2023-563229,2023-06-19,1,Vente,140000.0,44.0,,RUE DE BELLECHASSE,825,75007.0,75107,Paris 7e Arrondissement,75,,,75107000AX0088,,,17,13.15,,,,,,,,,1,2.0,Appartement,9.0,2.0,,,,,,2.321961,48.857526
5490,2023-563236,2023-06-13,1,Vente,424000.0,12.0,,RUE ROCHEBRUNE,8286,75011.0,75111,Paris 11e Arrondissement,75,,,75111000AZ0055,,,21,,,,,,,,,,1,2.0,Appartement,27.0,2.0,,,,,,2.379491,48.860941
5491,2023-563240,2023-06-29,1,Vente,211300.0,23.0,,RUE DE COTTE,2367,75012.0,75112,Paris 12e Arrondissement,75,,,75112000EX0016,,,108,17.74,,,,,,,,,1,2.0,Appartement,17.0,1.0,,,,,,2.377697,48.849871
5492,2023-563247,2023-06-23,1,Vente,434615.0,22.0,,RUE DES VOLONTAIRES,9902,75015.0,75115,Paris 15e Arrondissement,75,,,75115000CG0073,,,240,42.6,,,,,,,,,1,2.0,Appartement,40.0,2.0,,,,,,2.307164,48.841993
5493,2023-563248,2023-06-30,1,Vente,1318200.0,2.0,,RUE VICTORIEN SARDOU,9767,75016.0,75116,Paris 16e Arrondissement,75,,,75116000AI0003,,,13,,,,,,,,,,1,2.0,Appartement,136.0,5.0,,,,,,2.268647,48.842845
5494,2023-563249,2023-06-22,1,Vente,238000.0,44.0,,RUE DE TOLBIAC,9337,75013.0,75113,Paris 13e Arrondissement,75,,,75113000BH0052,,,18,27.34,,,,,,,,,1,2.0,Appartement,16.0,1.0,,,,,,2.371479,48.827948
