IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20
786860102;77,8;s;24810;36050;53040;0,78;15470;22670;26820;31780;41690;47900;57940;70460;4,6;5,8;0,329;80,5;76,7;1,7;2,1;15,3;4,2;0
786860103;s;s;31100;45620;62640;0,69;20230;28510;34020;40360;51200;58300;68810;88130;4,4;6,0;0,340;72,7;66,8;1,6;4,3;20,4;6,9;0
786860104;s;s;25420;37600;52780;0,73;15120;21360;27590;32150;43160;49690;59090;75600;5,0;6,7;0,353;75,8;71,3;2,4;2,1;18,5;5,7;0
786860105;77,8;7,6;25300;36310;48810;0,65;15660;22740;27180;32260;42070;46440;52190;62480;4,0;5,1;0,301;79,3;75,1;1,9;2,3;16,4;4,3;0
786860106;80,1;s;28000;40010;57210;0,73;16570;25230;30050;34310;46300;52740;62260;77380;4,7;6,0;0,339;72,7;67,8;1,8;3,1;20,8;6,5;0
786860107;77,6;s;26230;37360;52130;0,69;16550;24170;28860;33170;43430;48230;57070;73080;4,4;5,7;0,328;81,4;77,4;1,6;2,4;14,4;4,2;0
786860108;76,2;s;24170;37250;52230;0,75;13790;21280;26860;32030;42280;47660;57010;74250;5,4;6,8;0,349;74,0;69,9;1,9;2,2;18,9;7,1;0
786880101;83,6;s;27890;39210;52700;0,63;18840;25180;30530;34280;44470;49650;55620;70520;3,7;4,4;0,283;78,0;74,3;1,6;2,1;18,8;3,2;0
786880102;s;s;21340;30030;41730;0,68;13340;19040;23240;26860;34550;39000;45530;55440;4,2;4,9;0,289;81,1;77,7;2,2;1,2;17,0;1,9;0
786880103;85,5;s;28120;37900;50480;0,59;20370;26530;30150;34400;42130;47480;54140;65620;3,2;3,9;0,265;72,4;69,1;1,6;1,7;25,0;2,6;0
786880104;s;s;34390;43990;58790;0,55;26480;31770;36340;40480;49560;54860;63670;77620;2,9;3,8;0,271;72,2;68,3;1,6;2,3;23,0;4,8;0
786880105;80,2;s;28250;40170;55590;0,68;16880;24610;30390;34560;45860;51310;60270;78780;4,7;5,6;0,320;74,8;70,1;1,6;3,1;20,8;4,4;0
790030101;s;s;17550;23370;30370;0,55;11750;15970;18690;21130;25520;28580;32380;39600;3,4;4,5;0,283;59,9;55,0;1,7;3,2;35,4;4,7;1
