;IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20;keep
10722;751207913;74,0;14,1;20580;33910;50360;0,88;10030;17660;23410;28620;39710;46550;54440;66630;6,6;7,9;0,352;80,2;69,2;3,8;7,2;15,7;4,1;0;1
10723;751207914;75,7;11,5;22010;32410;46390;0,75;11600;18280;24280;28140;37300;43490;51180;64930;5,6;7,4;0,350;76,0;65,8;4,7;5,5;18,7;5,3;0;1
10724;751207915;74,4;14,1;20390;31450;45520;0,80;9260;17850;22120;27090;36520;42220;50040;64980;7,0;9,1;0,387;82,2;70,6;4,8;6,8;12,2;5,6;0;1
10725;751207916;62,5;26,7;12310;23340;39820;1,18;5060;10190;14230;18550;29190;36430;44380;59720;11,8;12,1;0,418;74,4;66,4;3,9;4,1;21,1;4,5;0;1
10726;751207917;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
10727;751208001;40,7;42,8;8660;15190;22950;0,94;3860;7090;9610;12600;18030;21220;24740;32390;8,4;10,5;0,388;69,9;63,3;5,3;1,3;27,6;2,5;0;1
10728;751208002;72,7;17,4;18120;30920;45770;0,89;8870;14700;21210;25400;36240;42560;50020;58990;6,7;8,6;0,362;77,6;69,2;3,1;5,3;17,2;5,2;0;1
10729;751208003;64,3;21,3;14800;24180;35920;0,87;8060;12520;16850;20460;28120;32700;38640;49940;6,2;8,2;0,368;74,8;66,0;4,4;4,4;20,9;4,3;0;1
10730;751208004;s;s;25600;38650;51990;0,68;15290;22650;28540;33360;42800;48120;57710;71300;4,7;6,0;0,320;74,3;67,6;2,3;4,4;20,4;5,3;0;1
10731;751208005;72,4;22,1;15790;29760;44820;0,98;5550;11650;18510;23800;34620;41000;48270;60320;10,9;14,3;0,418;81,5;72,5;4,4;4,6;14,0;4,5;0;1
10732;751208006;73,1;14,8;19330;33910;49360;0,89;9490;16570;22720;28660;39670;46540;54400;67520;7,1;8,8;0,372;74,9;67,8;3,4;3,7;18,7;6,4;0;1
10733;751208007;60,5;31,2;10770;20010;33370;1,13;5220;9030;12380;16520;25000;29970;37910;51380;9,8;12,4;0,427;79,0;71,4;4,4;3,2;17,7;3,3;0;1
10734;751208008;41,1;45,6;8110;14300;22230;0,99;3980;6770;9430;11520;16780;20500;24130;29280;7,4;9,3;0,367;74,0;67,7;5,1;1,2;25,0;1,0;0;1
10735;751208009;39,0;52,6;7840;12520;20220;0,99;2780;6160;8760;10350;15300;18300;22490;28020;10,1;11,4;0,384;73,4;66,8;5,5;1,1;25,3;1,3;0;1
10736;751208010;52,0;37,1;9430;16710;27240;1,07;4210;8240;10810;14040;20190;25020;29430;37560;8,9;10,6;0,395;77,6;70,3;5,1;2,2;20,8;1,6;0;1
10737;751208011;39,6;47,1;8150;13720;22820;1,07;4290;6810;9070;11430;16790;20590;25170;32540;7,6;9,9;0,395;67,3;61,1;4,9;1,3;31,4;1,3;0;1
10738;751208012;58,4;32,7;10490;18790;31890;1,14;4970;9250;12140;15560;22500;27680;35500;45000;9,1;11,8;0,416;79,0;68,6;6,4;4,0;17,3;3,7;0;1
10739;751208013;65,0;27,3;12210;23640;38790;1,12;6010;10340;14040;18110;28310;34640;41670;51280;8,5;11,4;0,418;80,8;71,8;4,6;4,4;14,5;4,7;0;1
10740;751208014;67,0;22,9;14190;24680;37890;0,96;5980;11290;16230;20700;29630;34950;41190;52150;8,7;10,7;0,386;83,4;75,3;3,9;4,2;13,6;3,0;0;1
10741;751208015;72,2;17,9;17420;31450;47330;0,95;8400;14240;20540;26010;36430;43030;51660;65500;7,8;11,0;0,407;79,9;70,2;4,1;5,6;14,8;5,3;0;1
10742;751208016;64,0;27,2;12080;23580;37400;1,07;4840;9500;14710;18830;28250;34120;41280;52680;10,9;12,6;0,402;84,3;75,1;4,9;4,3;12,0;3,7;0;1
10743;751208017;65,4;26,3;12550;24640;41070;1,16;5170;9630;14560;19750;30610;37790;46050;60510;11,7;14,2;0,433;78,1;68,5;4,0;5,6;16,7;5,2;0;1
10744;751208018;61,6;32,4;11400;19910;32050;1,04;5060;10170;12570;16050;23490;28580;35620;45300;8,9;10,2;0,397;84,0;74,5;5,4;4,1;14,4;1,6;0;1
10745;751208019;55,8;32,9;10250;19610;31430;1,08;5270;9050;12020;15460;23990;28890;34470;42940;8,1;10,5;0,390;75,6;68,4;4,4;2,8;22,2;2,2;0;1
10746;751208020;30,9;52,6;6990;12340;19110;0,98;3030;5760;8350;10470;15040;17750;21080;26510;8,8;10,7;0,372;72,3;65,4;5,6;1,3;26,4;1,3;0;1
10747;751208021;39,8;45,8;7860;14170;22570;1,04;3590;6570;9280;11960;17170;20350;24550;31060;8,6;10,6;0,377;77,2;70,1;6,2;0,9;21,8;1,0;0;1
10748;751208022;57,8;31,4;11490;21060;31720;0,96;5710;10110;12640;16420;24250;28840;34870;45120;7,9;9,8;0,391;70,9;62,4;4,6;3,9;26,6;2,5;0;1
10749;751208023;63,1;28,4;12040;22590;35880;1,05;5610;10020;14010;18330;27140;32400;40080;50470;9,0;11,2;0,408;78,7;69,3;5,1;4,3;16,1;5,2;0;1
10750;751208024;69,7;21,5;15310;27470;42040;0,97;6180;12160;18130;22570;32260;38590;45740;57230;9,3;10,7;0,377;74,8;66,7;4,0;4,1;21,7;3,5;0;1
10751;751208025;66,4;23,7;13590;24600;37520;0,97;6390;11320;16660;20690;28810;34660;41590;51400;8,0;9,4;0,370;81,1;73,4;4,8;2,9;16,0;2,9;0;1
10752;751208026;73,5;15,6;19320;31190;45960;0,85;8860;16330;22140;27310;36970;42530;49740;62350;7,0;9,0;0,372;79,0;72,6;3,4;3,0;17,6;3,4;0;1
