;IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20;keep
9985;751093610;72,2;16,5;19980;36930;58330;1,04;7390;16730;23970;29520;43060;52900;65730;87540;11,8;14,5;0,433;83,4;71,6;3,9;7,9;10,4;6,2;0;1
9986;751103701;72,5;14,9;19860;34130;52390;0,95;8820;16630;23160;28840;39140;47560;59050;75230;8,5;11,1;0,404;81,2;69,8;3,6;7,8;12,5;6,3;0;1
9987;751103702;67,4;19,8;15380;28790;45770;1,06;6950;13340;18220;23050;34960;41790;51440;66650;9,6;11,0;0,398;86,6;77,6;4,5;4,5;9,7;3,7;0;1
9988;751103703;70,6;21,0;15550;30370;50550;1,15;7060;12650;18710;24340;36990;45940;57070;78900;11,2;14,2;0,435;84,6;73,9;3,4;7,3;8,6;6,8;0;1
9989;751103704;73,8;13,5;21540;39470;61820;1,02;10130;17910;24800;32650;47430;57180;68670;90110;8,9;11,1;0,404;82,0;70,6;3,2;8,2;11,6;6,4;0;1
9990;751103705;77,2;10,1;26420;41940;63610;0,89;13100;21840;29210;36080;48760;57990;74520;106810;8,2;10,9;0,421;78,3;67,7;3,2;7,4;11,4;10,3;0;1
9991;751103706;71,5;17,8;17880;32880;52230;1,04;8100;14720;20750;26400;39540;47190;57560;76490;9,4;12,4;0,419;76,8;68,1;3,7;5,0;15,6;7,6;0;1
9992;751103707;68,0;21,9;15580;29950;46550;1,03;7020;12010;17880;22930;36610;43130;50560;64430;9,2;12,2;0,412;87,3;77,7;3,8;5,8;9,9;2,8;0;1
9993;751103708;69,7;21,2;15130;29340;44180;0,99;5930;11770;17830;23080;34930;41410;49460;62660;10,6;12,4;0,403;80,5;70,1;4,8;5,6;15,1;4,4;0;1
9994;751103709;64,3;26,7;12130;25140;40940;1,15;4890;9910;14720;19560;30920;36600;45090;59040;12,1;15,1;0,430;86,2;76,8;4,7;4,7;10,9;2,9;0;1
9995;751103710;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9996;751103711;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9997;751103712;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9998;751103801;67,4;21,2;14720;32570;53420;1,19;5980;12350;18550;25760;40300;48550;61070;79270;13,3;15,7;0,449;82,7;73,4;3,6;5,7;10,0;7,3;0;1
9999;751103802;60,0;32,5;10030;22580;44730;1,54;4830;8230;12220;16520;29830;39470;51190;70160;14,5;20,1;0,496;86,4;74,5;5,5;6,4;7,9;5,7;0;1
10000;751103803;70,2;17,8;17890;35180;56910;1,11;7370;14450;20930;27460;42990;51460;65770;87670;11,9;15,2;0,452;83,2;73,4;4,3;5,5;10,9;5,9;0;1
10001;751103804;72,9;17,0;17670;34030;58330;1,19;8580;15130;21540;28320;41250;52780;67720;93510;10,9;16,6;0,495;74,9;65,9;4,0;5,0;9,2;15,9;0;1
10002;751103805;72,4;16,3;18650;31620;51660;1,04;8850;16270;21800;26310;38310;45210;58840;82920;9,4;13,1;0,451;83,6;70,9;3,1;9,6;10,2;6,2;0;1
10003;751103806;73,8;15,6;19490;37000;62330;1,16;8380;16000;22890;30260;45100;55550;69020;96460;11,5;14,0;0,446;82,8;72,9;3,6;6,3;9,6;7,6;0;1
10004;751103901;69,6;23,4;14240;30070;51180;1,23;5960;11050;16870;23600;35920;43490;57810;83460;14,0;19,7;0,483;74,1;63,6;3,8;6,7;15,8;10,1;0;1
10005;751103902;75,6;13,4;21040;37200;58840;1,02;10520;17690;23760;31780;44480;53110;64040;85120;8,1;11,6;0,429;80,1;70,2;3,4;6,5;12,1;7,8;0;1
10006;751103903;74,9;10,9;23960;36820;55140;0,85;10720;20830;26810;31630;42950;50440;58710;83390;7,8;10,5;0,427;85,4;76,3;2,9;6,2;9,8;4,8;0;1
10007;751103904;70,4;17,8;17330;34640;57880;1,17;7200;14130;20830;27380;40730;52300;64750;86900;12,1;16,5;0,473;79,6;69,5;3,3;6,8;12,7;7,7;0;1
10008;751103905;69,7;20,7;16430;31300;50550;1,09;6160;12800;19630;25310;38110;46740;57670;77880;12,6;15,3;0,439;83,4;71,1;4,3;8,0;10,2;6,4;0;1
10009;751103906;70,8;17,2;17310;30720;50900;1,09;8940;14920;18970;24740;37150;45550;57870;81020;9,1;11,9;0,442;86,1;74,6;4,1;7,4;7,9;6,0;0;1
10010;751103907;69,4;19,6;17060;30420;48190;1,02;7030;14030;19370;25440;36620;44660;55260;71430;10,2;12,5;0,416;81,8;72,4;4,4;5,0;12,5;5,7;0;1
10011;751103908;70,5;17,2;17090;30190;49700;1,08;8260;14970;19490;25160;37230;44400;55420;74910;9,1;11,9;0,430;82,6;70,3;4,7;7,6;11,6;5,8;0;1
10012;751103909;69,5;20,4;15300;29770;49180;1,14;6440;12790;17810;23220;36590;44550;53960;77190;12,0;15,4;0,453;81,6;69,6;4,2;7,8;12,6;5,8;0;1
10013;751103910;71,7;16,7;19080;33870;54460;1,04;7540;15910;22410;27690;40150;49290;62150;84290;11,2;14,0;0,445;80,5;69,9;3,3;7,3;11,9;7,6;0;1
10014;751103988;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
10015;751104001;58,7;33,5;10290;20370;36810;1,30;4020;8080;12190;15820;25910;32360;42930;59070;14,7;19,7;0,493;85,0;72,4;5,7;6,9;8,9;6,1;0;1
10016;751104002;59,4;32,2;10730;21110;36150;1,20;5620;9040;12260;16410;25400;32010;39560;53160;9,5;12,9;0,436;82,5;69,8;5,7;7,0;13,6;3,9;0;1
10017;751104003;67,7;23,5;13730;27580;44410;1,11;5940;11130;16310;21410;33320;40020;50270;66810;11,2;15,5;0,453;82,1;72,1;5,2;4,8;10,2;7,7;0;1
10018;751104004;60,4;28,9;11660;23270;40970;1,26;4330;9440;13490;18200;30710;37820;48210;63350;14,6;20,1;0,490;86,7;75,4;4,9;6,4;8,9;4,4;0;1
10019;751104005;56,3;35,5;9010;18140;32010;1,27;2970;7020;11050;14690;23070;28650;35640;46760;15,7;17,6;0,446;86,9;76,6;6,0;4,3;11,1;2,0;0;1
10020;751104006;66,4;21,6;14810;26720;43110;1,06;7020;12360;16860;21650;32370;39590;47620;61650;8,8;11,5;0,408;84,6;72,0;4,7;7,9;12,2;3,2;0;1
10021;751104007;60,5;27,4;12210;24050;38830;1,11;5730;10230;14220;19290;29240;35560;43290;60430;10,5;15,9;0,478;78,8;70,7;3,2;4,9;13,9;7,3;0;1
10022;751104008;63,6;24,4;13630;26090;42750;1,12;6260;11610;15920;20760;31040;38330;47770;64730;10,3;13,1;0,432;77,3;67,7;3,9;5,7;17,4;5,3;0;1
10023;751104009;71,6;16,9;18050;31370;49790;1,01;8050;14970;20940;25150;38200;45240;56100;69880;8,7;11,1;0,402;84,8;72,2;4,8;7,8;10,3;4,9;0;1
10024;751104010;59,7;29,0;11450;21910;36500;1,14;5390;9470;13270;17970;27260;33110;41370;56100;10,4;13,3;0,431;75,0;66,2;4,1;4,7;21,6;3,4;0;1
10025;751104011;65,5;28,3;11550;23200;41210;1,28;4900;9600;14150;18430;29350;37560;46300;64070;13,1;18,8;0,497;86,8;77,4;4,0;5,4;10,0;3,2;0;1
10026;751104012;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
10027;751104088;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
10028;751114101;63,1;27,9;11900;25340;42430;1,21;5090;9410;14460;20130;31540;38570;47360;66820;13,1;16,0;0,444;74,6;65,9;3,9;4,8;20,1;5,3;0;1
10029;751114102;66,3;26,8;12530;24790;39970;1,11;5700;9850;14690;19600;29880;36340;44440;60630;10,6;14,8;0,444;86,4;75,1;5,5;5,8;10,0;3,6;0;1
10030;751114103;68,9;19,1;16720;30430;50020;1,09;8030;13730;19650;25490;36890;44670;55420;71660;8,9;12,5;0,422;81,6;71,7;3,6;6,3;13,0;5,4;0;1
10031;751114104;69,3;s;18860;32980;53530;1,05;11340;16410;21830;27490;40870;48290;60560;80560;7,1;10,7;0,429;76,5;62,3;3,6;10,6;14,1;9,4;0;1
10032;751114105;74,0;13,1;21640;38380;61340;1,03;10260;17950;24060;31310;44590;53880;67450;93800;9,1;12,4;0,435;79,2;65,8;3,5;9,9;12,5;8,3;0;1
10033;751114106;70,2;14,8;19840;36590;60040;1,10;9380;16970;22930;28890;44580;53890;67600;88270;9,4;11,9;0,426;81,3;68,9;3,2;9,2;11,9;6,8;0;1
10034;751114107;73,7;13,3;21350;36910;58410;1,00;10300;18230;23950;30220;43330;52720;64970;87080;8,5;11,0;0,414;82,6;69,8;3,5;9,3;10,6;6,8;0;1
10035;751114108;73,6;13,3;19270;31650;47750;0,90;9820;17030;22110;26940;38260;44810;52230;72640;7,4;9,3;0,395;82,4;71,4;4,0;7,0;11,1;6,5;0;1
10036;751114109;65,0;27,1;12470;24050;40810;1,18;5600;10120;14510;19320;29870;36380;44790;59390;10,6;14,2;0,444;86,4;74,4;5,3;6,7;8,6;5,0;0;1
10037;751114110;55,4;38,9;8260;17450;31830;1,35;2470;6850;10580;13530;22810;28080;36540;50020;20,3;22,3;0,487;82,9;70,4;6,0;6,5;13,0;4,1;0;1
10038;751114111;s;s;8690;16800;28510;1,18;4140;7170;10230;12860;20540;25160;31810;45550;11,0;13,7;0,443;85,2;77,4;5,1;2,7;13,4;1,4;0;1
10039;751114112;40,1;58,3;5620;9730;21890;1,67;2720;4700;6550;7880;13790;18800;26100;37110;13,7;18,5;0,501;77,3;69,4;5,4;2,5;19,7;3,0;0;1
10040;751114113;66,1;25,0;13070;26670;45120;1,20;4520;9600;16110;22010;32030;39450;51280;71140;15,7;18,4;0,450;83,7;70,9;3,9;8,9;11,1;5,2;0;1
10041;751114114;70,0;22,6;15220;31250;49720;1,10;5830;11750;18200;25290;37440;44990;54310;67660;11,6;14,1;0,424;83,9;74,2;4,2;5,5;11,4;4,7;0;1
10042;751114115;74,4;12,3;20850;34840;51600;0,88;11790;18230;23670;29250;40920;47380;58420;73530;6,2;8,8;0,389;84,6;75,1;4,2;5,3;9,4;6,0;0;1
10043;751114201;64,5;27,9;11960;25220;40510;1,13;4610;10330;15030;20070;29850;37420;44460;59430;12,9;13,8;0,425;83,4;74,3;4,4;4,7;12,7;3,9;0;1
10044;751114202;70,0;21,3;15980;30350;47980;1,05;6160;12160;18440;23340;35650;42460;55980;73970;12,0;15,7;0,454;80,8;70,0;4,4;6,4;12,8;6,4;0;1
10045;751114203;76,0;13,6;21640;35660;52810;0,87;9680;18650;24720;30230;42200;48500;59400;78690;8,1;9,8;0,392;78,6;68,0;4,0;6,6;14,1;7,3;0;1
10046;751114204;69,4;18,3;16600;29470;43490;0,91;8220;14100;19010;23410;34090;39970;48040;60720;7,4;9,6;0,390;83,4;70,9;6,0;6,5;11,1;5,5;0;1
10047;751114205;74,1;15,0;19830;36210;56330;1,01;8990;16940;23050;29510;42720;51220;63340;82070;9,1;11,2;0,405;73,4;64,1;3,1;6,2;18,0;8,6;0;1
10048;751114206;72,1;16,4;19120;35350;55970;1,04;8270;15870;22250;28930;41660;50550;60670;79420;9,6;12,6;0,421;74,6;63,9;3,1;7,6;17,2;8,2;0;1
10049;751114207;70,9;13,8;22130;39100;60470;0,98;10000;18730;25530;32370;47420;55050;68020;90790;9,1;11,5;0,415;74,4;64,3;2,6;7,5;15,4;10,2;0;1
10050;751114208;79,1;12,4;24690;41730;63600;0,93;11330;20250;28240;34990;47920;57470;70860;97130;8,6;13,5;0,470;71,7;62,0;2,5;7,2;17,0;11,3;0;1
10051;751114209;72,4;15,8;19530;34740;56990;1,08;8940;16420;22500;28530;42050;51140;63320;83010;9,3;12,4;0,428;79,2;67,3;3,0;8,9;13,6;7,2;0;1
10052;751114210;67,3;19,3;16660;30560;49680;1,08;6910;13700;19290;24290;37140;43190;56140;75430;10,9;14,5;0,446;80,5;70,7;3,9;5,9;15,0;4,5;0;1
10053;751114211;72,6;15,7;20480;34320;53170;0,95;9810;16610;23100;28620;40750;47770;59610;77870;7,9;11,3;0,425;77,6;66,2;3,7;7,7;16,7;5,7;0;1
10054;751114212;76,7;s;24480;38490;59080;0,90;13660;21060;27810;33220;44880;52440;67370;91070;6,7;9,0;0,400;70,8;62,4;3,2;5,2;19,7;9,5;0;1
10055;751114213;70,8;17,3;18360;33790;54730;1,08;8180;15530;22190;27910;41660;48110;61950;81710;10,0;12,3;0,417;80,4;71,0;3,6;5,8;12,3;7,3;0;1
10056;751114214;65,7;22,7;15630;28820;46260;1,06;6490;11630;18100;22930;34250;41050;52400;70420;10,9;13,5;0,429;81,0;71,0;4,1;5,9;13,4;5,6;0;1
10057;751114301;63,6;27,0;12130;23650;35890;1,00;5350;9800;14470;17960;27380;33070;41510;55640;10,4;13,7;0,438;70,5;62,4;3,4;4,7;20,8;8,7;0;1
10058;751114302;69,4;19,4;16820;31140;48860;1,03;7330;13630;20160;25560;36760;43870;53170;68030;9,3;11,4;0,398;73,9;66,5;3,5;3,9;19,5;6,6;0;1
10059;751114303;53,0;28,8;11850;19800;28330;0,83;6940;10220;13830;17280;22760;26060;31200;39060;5,6;8,0;0,361;75,9;69,0;4,5;2,4;21,4;2,7;0;1
10060;751114304;72,4;14,7;18730;29470;42650;0,81;9660;16100;20750;25530;33200;38870;47900;61250;6,3;8,7;0,378;79,7;69,6;4,2;5,9;16,3;4,0;0;1
10061;751114305;65,3;21,9;14530;26340;43060;1,08;6440;12080;17010;21490;31040;38150;48350;63170;9,8;12,7;0,423;78,8;69,7;4,2;4,9;15,2;6,0;0;1
10062;751114306;66,6;21,2;15130;27300;44470;1,07;6340;12460;17500;22520;33100;40790;49610;67860;10,7;14,8;0,469;81,1;71,4;4,3;5,4;11,6;7,3;0;1
10063;751114307;69,2;19,5;15970;29980;50500;1,15;7700;13320;18060;24460;37270;45760;54950;73710;9,6;12,0;0,417;77,2;67,2;3,8;6,2;17,0;5,8;0;1
10064;751114308;69,2;21,2;15520;27520;47380;1,16;6910;12660;18000;23300;33550;41440;54570;70480;10,2;13,9;0,448;78,5;67,6;4,1;6,8;16,4;5,1;0;1
10065;751114309;70,2;20,9;14900;29880;50780;1,20;7050;12720;18600;23990;36100;43640;55410;72620;10,3;14,9;0,459;74,0;65,7;2,9;5,4;20,8;5,2;0;1
10066;751114310;76,3;12,9;23430;39230;59040;0,91;10090;19810;26860;33510;46520;53340;65420;84020;8,3;10,7;0,398;83,3;72,7;3,9;6,7;12,0;4,7;0;1
10067;751114311;70,7;18,4;16340;30380;49130;1,08;8120;14260;18680;24550;37210;44590;54940;78410;9,7;14,5;0,476;77,6;68,3;3,0;6,3;10,8;11,6;0;1
10068;751114312;73,1;13,2;21940;36170;59700;1,04;9500;19170;24920;30600;43640;54110;64500;87820;9,2;10,6;0,405;74,8;65,0;3,8;6,0;17,8;7,4;0;1
10069;751114313;79,5;12,3;23490;38080;58470;0,92;10340;19420;26170;31580;45120;53870;63530;83960;8,1;9,8;0,391;78,5;68,4;3,3;6,8;14,7;6,8;0;1
10070;751114314;73,1;14,0;20360;33340;47790;0,82;9850;17530;23120;29040;38880;44210;52960;73820;7,5;10,2;0,411;80,4;67,9;4,2;8,3;10,9;8,7;0;1
10071;751114315;68,5;22,4;15240;29780;48850;1,13;5940;11700;18880;24730;35970;44480;54000;69440;11,7;15,8;0,432;82,8;74,1;3,4;5,3;12,6;4,6;0;1
10072;751114316;69,4;16,9;17760;31430;51150;1,06;9080;15640;19850;25260;37560;44690;58110;81070;8,9;11,4;0,422;81,2;70,0;4,5;6,7;12,1;6,7;0;1
10073;751114317;74,6;15,0;19300;33590;53610;1,02;9270;16260;23180;28580;40070;47970;58840;75900;8,2;10,5;0,402;80,5;70,9;3,1;6,5;14,0;5,5;0;1
10074;751114318;75,3;15,5;19430;32210;47750;0,88;9290;16260;22660;26970;37510;43810;52150;65950;7,1;8,7;0,371;81,1;69,3;4,8;7,0;13,6;5,3;0;1
10075;751114319;61,0;21,9;14130;25340;36290;0,87;7870;12440;16410;20930;28210;32790;39790;52520;6,7;9,2;0,373;72,5;65,8;3,7;3,0;24,2;3,3;0;1
10076;751114320;68,8;18,5;16110;26740;40590;0,92;8150;13800;18690;22860;31210;36480;44700;58240;7,1;9,0;0,378;81,4;73,9;3,9;3,6;15,1;3,5;0;1
10077;751114321;70,0;23,1;14360;29260;45640;1,07;6710;12010;18040;24320;34760;41190;50950;65790;9,8;12,3;0,411;79,0;70,7;4,1;4,2;16,1;4,9;0;1
10078;751114401;77,2;s;23720;38000;55450;0,83;12720;20440;26060;32510;44820;50790;60470;79270;6,2;9,1;0,408;72,2;64,5;2,0;5,7;17,1;10,7;0;1
10079;751114402;75,5;11,9;21420;36160;51180;0,82;11730;18390;24290;30430;42720;48110;56420;72800;6,2;8,0;0,366;79,9;68,9;3,5;7,5;14,8;5,3;0;1
10080;751114403;72,4;15,8;19630;32960;48550;0,88;8950;16310;22760;27550;39110;45010;53660;68170;7,6;10,7;0,408;82,5;72,5;3,8;6,2;12,6;4,9;0;1
10081;751114404;75,1;12,9;21470;36890;61230;1,08;10340;18290;24870;31090;45490;55690;70860;95800;9,3;13,6;0,465;78,7;64,9;3,4;10,4;12,6;8,7;0;1
10082;751114405;70,3;23,3;14820;30380;46140;1,03;5960;11020;18040;23960;36580;43160;52000;67140;11,3;14,6;0,430;80,2;68,8;4,1;7,3;13,8;6,0;0;1
10083;751114406;72,5;16,3;18300;33400;51670;1,00;9150;15630;21530;27410;39080;47470;56860;78580;8,6;12,2;0,432;78,3;69,1;3,5;5,7;15,5;6,2;0;1
10084;751114407;73,8;14,2;20080;33230;50560;0,92;9930;17240;22540;27490;38960;47070;55740;73900;7,4;10,3;0,410;82,9;72,7;4,0;6,2;12,0;5,1;0;1
10085;751114408;76,9;13,0;22380;36300;53770;0,86;10820;19080;24880;31340;42710;48460;59210;73520;6,8;9,1;0,385;73,3;63,1;3,0;7,2;16,7;10,0;0;1
10086;751114409;71,6;16,1;18260;32070;48610;0,95;7680;15520;21120;26720;37740;44520;53020;67680;8,8;10,5;0,387;79,1;71,3;3,5;4,3;15,1;5,8;0;1
10087;751114410;69,5;19,8;16010;31140;46850;0,99;7260;13180;19260;25310;36360;42870;51700;66620;9,2;11,6;0,399;71,4;64,0;2,6;4,8;22,9;5,7;0;1
10088;751114411;69,7;20,5;15810;29170;43870;0,96;7600;12950;18810;23680;34220;40220;47620;60260;7,9;10,8;0,397;76,6;67,8;3,9;4,9;16,9;6,5;0;1
10089;751114412;72,0;14,9;19550;31740;49890;0,96;10200;16090;22000;26990;38030;45580;55830;71700;7,0;9,5;0,397;75,7;65,2;3,3;7,2;19,4;4,9;0;1
10090;751114413;76,0;10,4;23500;38150;57770;0,90;12900;20420;26940;31720;44680;52310;62160;79590;6,2;8,6;0,383;77,6;68,8;3,0;5,8;14,4;8,0;0;1
10091;751124501;56,6;28,6;11850;20830;29720;0,86;6520;10050;13810;17520;23950;27600;32660;39800;6,1;8,7;0,359;71,3;65,7;4,2;1,4;27,0;1,7;0;1
10092;751124502;75,3;12,3;21470;35100;51250;0,85;11480;18750;24480;29370;40450;46760;55810;74370;6,5;8,7;0,382;74,7;66,5;2,6;5,6;19,2;6,1;0;1
10093;751124503;69,3;19,1;17790;31800;48600;0,97;6900;13970;20490;25700;37010;45070;52110;65840;9,5;11,6;0,393;72,5;64,3;2,1;6,1;22,3;5,2;0;1
10094;751124504;75,5;15,7;19610;33330;49820;0,91;10150;16610;22410;28190;39560;45650;55150;70230;6,9;9,3;0,386;73,6;67,0;2,4;4,2;20,2;6,2;0;1
10095;751124505;78,5;10,2;23060;35000;49370;0,75;12790;20520;25320;30690;39790;45580;52660;64130;5,0;6,1;0,313;76,7;70,3;2,4;4,0;20,0;3,3;0;1
10096;751124506;72,8;16,2;21250;37350;57740;0,98;7740;17330;25010;31290;45230;53900;63100;83820;10,8;12,5;0,407;74,8;66,7;2,6;5,5;19,1;6,1;0;1
10097;751124507;69,5;17,0;17620;30910;49670;1,04;8660;15020;20640;25550;36980;45230;55060;74560;8,6;11,4;0,417;64,4;57,3;2,6;4,5;27,6;8,0;0;1
10098;751124508;76,1;11,8;22480;35510;50780;0,80;10930;19260;25700;30530;40130;46180;56590;72850;6,7;7,9;0,357;75,3;67,8;2,4;5,1;18,7;6,0;0;1
10099;751124509;74,1;11,2;21090;31110;46950;0,83;12310;18150;22980;27270;36260;41940;52640;69240;5,6;7,3;0,360;76,9;70,9;2,4;3,6;18,7;4,4;0;1
10100;751124510;51,8;36,0;9440;17610;27340;1,02;4490;7840;11330;14570;21030;25240;30820;39290;8,7;11,4;0,398;71,8;65,3;4,3;2,2;25,4;2,8;0;1
10101;751124511;50,4;38,5;9120;16970;26320;1,01;4510;7370;10360;13780;21050;24610;28420;36540;8,1;10,3;0,385;68,4;61,4;4,9;2,1;29,8;1,8;0;1
10102;751124512;72,3;19,5;16600;32070;49730;1,03;7380;13420;19590;25950;39480;45850;55150;70030;9,5;11,7;0,405;72,9;65,5;3,0;4,4;20,9;6,2;0;1
10103;751124513;78,4;12,4;23030;36190;51650;0,79;11300;19360;25230;31000;41080;47190;56450;74450;6,6;9,6;0,399;71,9;63,9;2,6;5,4;18,0;10,1;0;1
10104;751124514;78,7;s;25560;40130;58250;0,81;15070;22290;29030;34580;47330;53620;62590;86880;5,8;7,7;0,371;69,5;61,7;2,5;5,3;20,2;10,3;0;1
10105;751124577;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
10106;751124601;67,8;19,0;16820;29300;45300;0,97;7720;13750;18880;24320;34610;42400;49570;65790;8,5;10,2;0,392;75,3;67,3;3,1;4,9;20,3;4,4;0;1
10107;751124602;71,3;16,5;18660;32190;47150;0,88;9380;15700;21580;27180;37440;43960;52200;68700;7,3;9,8;0,391;71,9;64,7;2,6;4,6;22,0;6,1;0;1
10108;751124603;77,7;s;24420;35910;50370;0,72;15140;21640;26470;30360;41380;46990;54110;69180;4,6;6,1;0,328;67,7;61,9;2,7;3,1;26,9;5,4;0;1
10109;751124604;63,6;27,7;11740;22730;35640;1,05;6290;10140;14760;19000;27240;32580;38940;50050;8,0;13,0;0,445;71,8;65,5;3,5;2,8;18,6;9,6;0;1
10110;751124605;70,5;17,6;17400;28670;43250;0,90;7680;14600;19320;24380;33320;39490;47570;59830;7,8;9,4;0,380;82,3;73,2;3,7;5,4;13,7;4,0;0;1
10111;751124606;61,8;22,7;14400;25000;42260;1,11;6070;11760;16170;20650;30450;37210;48420;64920;10,7;12,5;0,418;73,1;65,5;3,2;4,4;21,1;5,8;0;1
10112;751124608;76,8;15,7;19840;34090;50640;0,90;7370;16990;23220;28920;39510;46370;54630;71940;9,8;11,1;0,391;75,9;69,2;2,8;3,9;18,6;5,5;0;1
10113;751124609;54,6;36,4;9670;18020;30540;1,16;4530;8220;11440;14330;22590;27650;34060;44910;9,9;12,9;0,434;78,6;71,6;3,6;3,4;19,3;2,1;0;1
10114;751124610;78,9;12,4;22420;36220;51180;0,79;11280;19870;25450;30790;41980;47810;57090;69960;6,2;7,6;0,357;78,1;69,4;2,4;6,3;17,5;4,4;0;1
10115;751124611;76,7;s;23780;36270;54850;0,86;12840;20890;26890;32410;42250;49810;59610;75070;5,8;7,3;0,349;79,1;71,4;2,8;4,9;15,8;5,1;0;1
10116;751124612;74,9;13,7;21250;34000;49690;0,84;9810;18280;23690;28920;40000;46090;53990;72560;7,4;8,8;0,376;82,2;72,3;3,1;6,8;13,2;4,6;0;1
10117;751124613;68,4;17,9;16980;28610;42620;0,90;8730;14040;19290;23680;33530;38360;47230;59510;6,8;8,6;0,370;76,6;69,9;3,2;3,5;19,3;4,1;0;1
10118;751124614;77,2;9,0;25570;38490;54730;0,76;14300;22790;28710;33190;43540;50260;60460;84220;5,9;7,4;0,363;71,4;62,9;2,2;6,3;22,0;6,6;0;1
10119;751124615;74,2;14,3;20430;33400;49940;0,88;10150;16980;23600;28770;38240;45320;54440;67430;6,6;8,5;0,369;73,7;67,4;2,6;3,7;20,0;6,3;0;1
10120;751124616;74,7;16,5;19810;35860;52540;0,91;8420;15640;22890;29790;41840;48270;56200;71710;8,5;11,1;0,390;69,2;63,2;2,5;3,5;23,4;7,4;0;1
10121;751124617;77,1;11,2;22160;34290;50620;0,83;11780;19420;24430;29240;39750;46510;55340;72650;6,2;7,7;0,361;74,0;67,3;2,8;3,9;20,6;5,4;0;1
10122;751124618;73,5;14,1;20290;35480;55580;0,99;9130;17060;23290;28760;42110;50220;61220;77490;8,5;10,2;0,402;67,6;60,7;2,4;4,5;26,5;5,9;0;1
10123;751124619;69,1;19,6;16030;28140;41440;0,90;7850;13460;18470;23920;33100;38320;44770;54990;7,0;8,5;0,359;73,7;66,8;3,2;3,7;22,9;3,4;0;1
10124;751124620;74,9;14,8;19190;32110;50220;0,97;8880;16670;21580;27170;38550;45880;55350;73350;8,3;10,4;0,406;79,7;71,3;2,9;5,5;14,1;6,2;0;1
10125;751124621;68,3;22,7;14890;27910;42900;1,00;6790;11750;17640;23100;33380;38830;47220;63130;9,3;12,1;0,408;84,3;74,9;3,2;6,2;11,1;4,6;0;1
10126;751124622;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
10127;751124623;75,4;10,8;23310;38560;59130;0,93;12530;18680;26520;32470;44930;53340;65010;84930;6,8;9,2;0,395;69,2;63,3;2,1;3,8;20,4;10,4;0;1
10128;751124624;81,0;s;27840;44330;65050;0,84;15310;24850;31930;37520;52040;60410;71520;93950;6,1;7,9;0,366;69,2;60,2;1,9;7,1;20,5;10,3;0;1
10129;751124677;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
10130;751124701;69,7;20,4;15450;29780;49350;1,14;8470;12960;17920;23570;34740;43380;54530;76430;9,0;12,2;0,438;76,3;69,3;2,9;4,1;17,6;6,1;0;1
10131;751124702;73,1;21,4;15160;27790;44190;1,04;7720;12280;17270;22840;33210;39520;48840;62040;8,0;10,7;0,408;81,4;75,0;3,1;3,3;15,0;3,6;0;1
10132;751124703;65,4;24,7;13560;25320;38400;0,98;6210;10890;16500;21170;30230;35200;42360;55620;9,0;11,9;0,399;79,6;72,5;3,5;3,6;16,8;3,6;0;1
10133;751124704;72,6;12,9;20120;31320;45460;0,81;11040;18100;22810;27110;35960;41830;50030;64160;5,8;7,2;0,342;75,9;69,1;2,9;3,9;20,4;3,7;0;1
10134;751124705;66,8;23,5;13590;24370;39160;1,05;6320;11660;15660;20140;29800;35400;43500;58080;9,2;11,3;0,413;79,3;71,6;3,7;4,0;16,6;4,1;0;1
10135;751124706;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
